temp1,tempmax1,tempmin1,tempavg1,temp2,tempmax2,tempmin2,tempavg2,temp3,tempmax3,tempmin3,tempavg3,temp4,tempmax4,tempmin4,tempavg4,temp5,tempmax5,tempmin5,tempavg5,temp6,tempmax6,tempmin6,tempavg6,temp7,tempmax7,tempmin7,tempavg7,temp8,tempmax8,tempmin8,tempavg8,temp9,tempmax9,tempmin9,tempavg9,temp10,tempmax10,tempmin10,tempavg10,temp11,tempmax11,tempmin11,tempavg11,temp12,tempmax12,tempmin12,tempavg12,temp13,tempmax13,tempmin13,tempavg13,temp14,tempmax14,tempmin14,tempavg14,temp15,tempmax15,tempmin15,tempavg15,temp16,tempmax16,tempmin16,tempavg16,temp17,tempmax17,tempmin17,tempavg17,temp18,tempmax18,tempmin18,tempavg18,temp19,tempmax19,tempmin19,tempavg19,temp20,tempmax20,tempmin20,tempavg20,temp21,tempmax21,tempmin21,tempavg21,temp22,tempmax22,tempmin22,tempavg22,temp23,tempmax23,tempmin23,tempavg23,temp24,tempmax24,tempmin24,tempavg24,temp25,tempmax25,tempmin25,tempavg25,temp26,tempmax26,tempmin26,tempavg26,temp27,tempmax27,tempmin27,tempavg27,temp28,tempmax28,tempmin28,tempavg28,temp29,tempmax29,tempmin29,tempavg29,temp30,tempmax30,tempmin30,tempavg30,temp31,tempmax31,tempmin31,tempavg31,temp32,tempmax32,tempmin32,tempavg32,temp33,tempmax33,tempmin33,tempavg33,temp34,tempmax34,tempmin34,tempavg34,temp35,tempmax35,tempmin35,tempavg35,temp36,tempmax36,tempmin36,tempavg36,temp37,tempmax37,tempmin37,tempavg37,temp38,tempmax38,tempmin38,tempavg38,temp39,tempmax39,tempmin39,tempavg39,temp40,tempmax40,tempmin40,tempavg40,temp41,tempmax41,tempmin41,tempavg41,temp42,tempmax42,tempmin42,tempavg42,temp43,tempmax43,tempmin43,tempavg43,temp44,tempmax44,tempmin44,tempavg44,temp45,tempmax45,tempmin45,tempavg45,temp46,tempmax46,tempmin46,tempavg46,temp47,tempmax47,tempmin47,tempavg47,temp48,tempmax48,tempmin48,tempavg48,temp49,tempmax49,tempmin49,tempavg49,temp50,tempmax50,tempmin50,tempavg50,code
26.54610273,26.54610273,26.54610273,26.54610273,7.918489647,7.918489647,7.64543828,7.781963964,26.54610273,27.27305137,26.54610273,26.90957705,28.72694863,28.72694863,28,28.4543429,28.72694863,29.45389727,28,28.7754143,28.72694863,29.72694863,28.72694863,28.83977928,28.72694863,29.45389727,28,28.72694863,28.72694863,29.45389727,28,28.89799238,28.72694863,28.72694863,28,28.5131385,28.72694863,28.72694863,28,28.61511486,29.45389727,29.45389727,28,28.95412008,28,29.45389727,28,28.72694863,28.72694863,29.45389727,28,28.60579537,28.72694863,28.72694863,28,28.68418951,28.72694863,28.72694863,28,28.57117081,28.72694863,29.45389727,28,28.84810916,28.72694863,29.45389727,28.72694863,28.79303553,7.64543828,7.64543828,7.64543828,7.64543828,28,29.45389727,28,28.68418951,28.72694863,29.45389727,28,28.76970775,28.72694863,29.45389727,28,28.68655937,28.72694863,29.45389727,28,28.59866401,28.72694863,29.45389727,28.72694863,28.89799238,21.08151035,21.80845899,20.35456172,21.03304469,28,28.72694863,28,28.64617737,28,28.72694863,28,28.64142313,28.72694863,28.72694863,28,28.67502269,28.72694863,29.45389727,28,28.87233836,28.72694863,29.45389727,28,28.78286552,28.72694863,28.72694863,28,28.6300173,28,29.45389727,28,28.72694863,28.72694863,29.45389727,28,28.72694863,28.72694863,29.45389727,28.72694863,28.96926242,28.72694863,28.72694863,28.72694863,28.72694863,28.72694863,29.45389727,28,28.72694863,28.72694863,28.72694863,28,28.6300173,28.72694863,29.45389727,28,28.85912243,28,29.45389727,28,28.72694863,28.72694863,29.45389727,28,28.85912243,28,29.45389727,28,28.72694863,29,29.72694863,28.72694863,28.86361333,28.72694863,29.45389727,28,28.90868579,28.72694863,29.45389727,28,28.77887457,28.72694863,28.72694863,28,28.67102447,28.72694863,29,28.72694863,28.81168739,28.72694863,29.72694863,28,28.59097372,28.72694863,29.45389727,28,28.87233836,7.64543828,7.918489647,7.64543828,7.654539082,28.72694863,29,28.72694863,28.81471553,28.72694863,29,28.72694863,28.78545808,3
32,32.25,33,32,33,32.31034,33,32,32,32.34483,33,32,32,32.11111,33,32,32,31.92857,33,31,31,31.82759,33,31,32,32.07143,33,32,32,31.82759,33,31,31,31,31,31,32,31.83333,33,31,32,31.83333,33,31,31,31.76667,33,31,32,31.5,32,31,32,31.75862,33,31,31,32.10715,33,31,33,33,33,33,32,32.03334,33,31,32,31.82759,33,31,31,31.53333,32,31,32,32,32,32,31,31.7931,33,31,32,31.75862,32,31,33,32.68966,35,32,32,31.96667,33,31,33,32.66667,33,32,32,32,32,32,32,32.93334,35,32,32,31.26667,32,31,32,31.7,33,31,31,31.6,33,31,31,31.86667,33,31,32,31.73333,33,31,31,31.66667,33,31,33,32.5,33,32,32,31.72414,33,31,32,32.13333,33,32,33,33,33,33,32,32,33,31,32,32,32,32,33,31.83333,33,31,32,31.63333,33,31,31,31.8,33,31,33,33,33,33,31,31,31,31,32,32,32,32,33,33,33,33,32,31.93333,33,31,31,31,31,31,32,31.55173,32,31,32,31.75,32,31,0
32.93868277,33.90802415,32.93868277,33.22948518,33.90802415,33.90802415,32.93868277,32.99253938,33.90802415,34.87736554,33.90802415,34.58656312,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,33.90802415,33.90802415,33.90802415,32.93868277,33.90802415,32.93868277,33.27795225,33.90802415,33.90802415,32.93868277,33.19377465,33.90802415,34.87736554,33.90802415,34.62227366,32.93868277,32.93868277,32.93868277,32.93868277,34.87736554,34.87736554,32.93868277,33.5202876,32.93868277,33.90802415,32.93868277,33.19377465,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,34.87736554,33.90802415,34.39269484,32.96934138,33.93868277,32.93868277,33.01297855,34.87736554,34.87736554,32.93868277,33.723384,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,32.93868277,33.27795225,33.90802415,34.87736554,33.90802415,34.60041501,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,33.90802415,32.93868277,33.66568881,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,34.87736554,32.93868277,33.76955373,32.93868277,32.93868277,32.93868277,32.93868277,34.87736554,34.87736554,32.93868277,33.74646402,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,32.93868277,32.9848428,32.93868277,34.87736554,32.93868277,34.13610049,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,34.87736554,32.93868277,33.81570408,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,33.90802415,32.93868277,33.00792282,32.93868277,33.90802415,32.93868277,33.65293227,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,34.87736554,32.93868277,33.86186411,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,32.93868277,33.02680559,32.93868277,33.90802415,32.93868277,33.49259351,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,34.87736554,32.93868277,33.99231808,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,33.90802415,32.93868277,33.20305124,32.96934138,33.93868277,32.93868277,33.53191546,32.93868277,32.93868277,32.93868277,32.93868277,34.87736554,34.87736554,32.93868277,34.36961483,32.93868277,33.90802415,32.93868277,33.07716288,32.93868277,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,32.93868277,33.30795337,32.93868277,32.93868277,32.93868277,32.93868277,33.90802415,34.87736554,33.90802415,34.53809605,1
32,32,32,32,33,32.66667,33,32,32,32.75,33,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33.75,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33.5,34,33,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,34.33334,35,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33.71428,34,33,34,34,34,34,33,32.75,33,32,34,34,34,34,35,35,35,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,34.66666,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0
26.5763294,27.3842196,26.5763294,27.33035756,27.3842196,27.3842196,26.5763294,26.69174459,21.00514521,21.00514521,21.00514521,21.00514521,26.5763294,29.8078902,26.5763294,28.0843938,26.5763294,27.3842196,26.5763294,26.9225669,27.3842196,27.3842196,26.5763294,27.16877952,26.5763294,26.7684392,26.5763294,26.69159528,26.7684392,26.7684392,26.7684392,26.7684392,27.3842196,29.8078902,26.5763294,28.03053176,27.3842196,27.3842196,27.1921098,27.35677479,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.7684392,26.5763294,26.73642026,26.7684392,26.7684392,26.5763294,26.6723843,29.8078902,29.8078902,27.3842196,28.29983388,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.7684392,26.7684392,26.7684392,26.7684392,26.5763294,28.1921098,26.5763294,27.43808164,29.8078902,29.8078902,26.5763294,27.33035756,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.960549,27.7684392,26.7684392,27.01589822,27.3842196,27.3842196,26.5763294,27.2765036,28.1921098,28.1921098,26.5763294,26.6840454,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,27.5763294,27.7684392,27.5763294,27.67878732,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,27.7684392,27.7684392,27.5763294,27.74099439,26.960549,26.960549,26.5763294,26.67878732,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,27.7684392,26.5763294,27.29426909,27.7684392,27.7684392,26.5763294,27.1402907,26.5763294,26.5763294,26.5763294,26.5763294,26.5763294,27.3842196,26.5763294,26.63019144,21.00514521,21.81303541,21.00514521,21.05900725,27.5763294,27.5763294,27.5763294,27.5763294,26.5763294,26.5763294,26.5763294,26.5763294,26.7684392,26.7684392,26.7684392,26.7684392,26.5763294,30,26.5763294,27.16352144,27.5763294,27.5763294,27.3842196,27.4802745,21.00514521,21.00514521,21.00514521,21.00514521,26.7684392,26.7684392,26.5763294,26.62755932,26.5763294,26.5763294,25.7684392,26.36088932,26.5763294,29.8078902,26.5763294,27.92281576,26.7684392,26.7684392,26.7684392,26.7684392,26.7684392,26.7684392,26.7684392,26.7684392,2
38.40777367,38.61166051,38.40777367,38.55541629,38.40777367,38.61166051,38.20388684,38.40777367,38.61166051,39.40777367,38.40777367,38.68949939,38.61166051,38.61166051,38.40777367,38.58253527,39.20388684,39.40777367,38.40777367,38.96893972,38.40777367,38.61166051,38.40777367,38.44175345,38.61166051,38.61166051,38.20388684,38.40097609,38.61166051,39.40777367,38.20388684,38.62096553,39.20388684,39.40777367,38.40777367,38.77220446,39.20388684,39.40777367,38.20388684,38.80821674,38.40777367,38.40777367,38.20388684,38.31637732,39.40777367,39.40777367,38.20388684,38.58560879,38.61166051,39.40777367,38.61166051,38.65355994,30.25230023,30.25230023,30.25230023,30.25230023,39.20388684,39.20388684,38.20388684,39.1076169,30.25230023,30.25230023,30.25230023,30.25230023,39.40777367,39.40777367,38.40777367,38.68447424,38.61166051,38.61166051,38.61166051,38.61166051,0,0,0,0,30.25230023,30.25230023,30.25230023,30.25230023,38.61166051,39.40777367,38.20388684,38.54622191,38.61166051,38.61166051,38.61166051,38.61166051,39.20388684,39.40777367,38.40777367,38.60292154,38.40777367,39.20388684,38.20388684,38.43888903,38.61166051,38.61166051,38.20388684,38.42136477,38.61166051,39.40777367,38.61166051,38.65146617,38.20388684,38.61166051,38.20388684,38.50292154,38.20388684,38.40777367,38.20388684,38.28544157,38.61166051,38.61166051,38.20388684,38.40097812,38.61166051,38.61166051,38.40777367,38.60486292,38.40777367,38.61166051,38.40777367,38.55049446,38.40777367,38.61166051,38.20388684,38.36699631,38.61166051,38.61166051,38.40777367,38.44995786,38.61166051,38.61166051,38.40777367,38.5679696,38.40777367,38.61166051,38.40777367,38.52729417,38.40777367,39.40777367,38.40777367,38.56117043,38.61166051,38.61166051,38.20388684,38.37379389,38.61166051,38.61166051,38.20388684,38.49838914,38.40777367,38.61166051,38.40777367,38.59127182,38.40777367,38.61166051,38.20388684,38.42816236,38.40777367,39.20388684,38.20388684,38.40474468,38.61166051,38.61166051,38.20388684,38.49214001,38.40777367,38.61166051,38.40777367,38.60486496,37.40777367,37.40777367,37.40777367,37.40777367,37.61166051,37.61166051,37.40777367,37.57767869,37.81554734,38.61166051,37.61166051,37.9348791,37.81554734,37.81554734,37.81554734,37.81554734,37.61166051,37.81554734,37.40777367,37.66603101,37.61166051,37.61166051,37.61166051,37.61166051,37.81554734,37.81554734,37.81554734,37.81554734,3
20.66539357,20.66539357,19.33214237,19.73211773,19.99876797,19.99876797,19.33214237,19.73211773,19.99876797,19.99876797,19.99876797,19.99876797,19.99876797,19.99876797,19.99876797,19.99876797,20.66539357,20.66539357,19.33214237,20.3542994,19.99876797,19.99876797,19.33214237,19.82099892,28.9998768,29.6666256,28.9998768,29.3332512,29.3332512,29.6666256,28.6665024,29.27768769,30.3332512,30.6666256,29.6665024,30.44437489,30,30.3333744,30,30.11112369,30,30,28.9998768,29.59995072,30,30,29.3333744,29.86667488,30.6666256,30.6666256,30.3332512,30.55550191,30,30,28.9998768,29.44437489,29.3332512,29.6666256,28.333128,29.19990144,30,30,28.6665024,29.53327584,29.6666256,30.9998768,28.6665024,29.93320192,29.9998768,30.6666256,28.9998768,29.52213983,30,30,29.3332512,29.79997536,30,30,29.6666256,29.88887631,30,30,29.3332512,29.88887631,29.9998768,30.6666256,29.9998768,30.3332512,30,30,29,29.56666256,30,30,28.3332512,29.64442417,28.6666256,29.3333744,28.6666256,29.04762587,20.66539357,20.66539357,20.66539357,20.66539357,29.3333744,29.6667488,29.3333744,29.44449809,30.3333744,30.3333744,29.6667488,30.28893047,30,30,30,30,30.3332512,30.6666256,30.3332512,30.55550191,29.3333744,30.3333744,29.3333744,29.52226303,30.3333744,30.3333744,29.6667488,30.20004928,30,30,30,30,29.3333744,29.3333744,29.3333744,29.3333744,30.6666256,31,30.6666256,30.86665024,29.6666256,30,29,29.64441929,30,30,29.3333744,29.95555607,29.3333744,30.6666256,29.3333744,30,30.6666256,30.6666256,30.6666256,30.6666256,29,30,29,29.35555607,30,30,30,30,30,30.3333744,30,30.06667488,30.6666256,30.6666256,30.6666256,30.6666256,29.3333744,30.3333744,29.3333744,30.14448577,30,30,29.6666256,29.93332512,30,30,29.6666256,29.86665024,30.6666256,31.6666256,30.6666256,31.06664536,30,30,30,30,30,30,27.9998768,29.31104489,30,30.3333744,30,30.11112369,3
30.19392461,30.19392461,27.79848115,29.12928574,26.79848115,28.59696231,26.79848115,27.51425916,28.79848115,29.79848115,28,28.89924058,28.59696231,29.39544346,27.59696231,28.33175215,29.59696231,30.39544346,29.39544346,29.99493917,29.79848115,29.79848115,28.79848115,29.61501859,26.79848115,27.79848115,26.79848115,27.26489401,30.19392461,30.39544346,30.19392461,30.26109689,29,29.79848115,28.20151885,29.26615772,26.20151885,28,25.20151885,26.77185796,28.59696231,29.59696231,28.59696231,28.78042487,25.60455654,29.20151885,25.60455654,28.06843599,27.79848115,27.79848115,25.20151885,26.06717228,28.79848115,28.79848115,28.39544346,28.66413458,29,29,29,29,28.39544346,28.59696231,27.59696231,28.36312003,28.59696231,28.79848115,27.59696231,28.46387945,28.39544346,29.20151885,27.59696231,28.19058816,28.39544346,28.59696231,27.59696231,28.28042487,28,28.20151885,25.60455654,27.01368058,28,28.20151885,24.80607539,25.97147369,27.60455654,28.40303769,25.40303769,26.49048552,27.59696231,27.59696231,25.20151885,25.73384228,27.79848115,28.20151885,25.40303769,26.63687997,27,27.60455654,24.60455654,25.51203259,26.00759423,28.40303769,26.00759423,27.12546785,26.20911308,28.60455654,25.41063193,26.5162249,26.00759423,28.40303769,25.20911308,26.3497993,26.00759423,28.40303769,26.00759423,26.9201464,26.20911308,28.60455654,25.41063193,26.77946018,27.60455654,28.40303769,25.40303769,27.26995484,26,27.79848115,24.40303769,25.70151885,27.79848115,28.20151885,25.40303769,26.4534174,27.59696231,27.59696231,25.20151885,26.6653983,25.20151885,27.79848115,24.40303769,25.6679317,26.40303769,28.20151885,25.60455654,26.65145528,26,27,25.20151885,26.18346257,26,27.59696231,25.20151885,26.13308285,25.40303769,28.20151885,25.40303769,26.48574084,25.20151885,27.59696231,24.20151885,25.60741522,25.79848115,27.59696231,25.79848115,26.38910381,27.79848115,28.20151885,24.60455654,27.08744783,26.20151885,27.79848115,25.20151885,26.21483044,26.80607539,28.40303769,26.00759423,26.9201464,26.00759423,28.60455654,25.20911308,26.74713858,26.80607539,28.40303769,26.80607539,27.33839882,25.20911308,28.40303769,25.20911308,26.40683481,26.00759423,28.60455654,26.00759423,26.74016481,26.00759423,28.40303769,26.00759423,26.57794134,26.00759423,28.40303769,26.00759423,27.12546785,1
37,38.07143,39,37,38,38.2,39,38,38,38.26667,39,38,38,38.42857,40,38,38,37.92857,39,37,38,38.07143,39,37,38,38.35714,39,38,40,38.13334,40,37,38,37.86667,39,37,37,37.73333,39,37,38,37.66667,39,37,38,37.6,39,37,38,38,38,38,37,37.33333,39,37,38,37.64286,39,37,38,37.66667,39,37,37,37.6,38,37,38,37.93333,39,37,37,37.8,39,37,38,38.5,39,38,37,37.46667,39,37,37,39.73333,42,37,37,37.14286,38,37,37,37.46667,39,37,36,36,36,36,38,38,38,38,37,36.93333,38,36,37,37,38,36,37,37.06667,38,37,37,37.2,38,36,36,37.13334,38,36,37,37,38,36,37,37.6,39,37,37,37,37,37,37,37,38,36,38,37.53333,39,37,37,37.26667,38,36,38,37.2,38,37,37,37.53333,39,37,37,37.4,39,37,38,37.33333,39,37,37,38,39,37,37,37.4,39,37,38,37.13334,38,37,37,37.6,40,37,37,37.6,39,37,38,37.13334,38,37,37,37.53334,39,37,37,37.42857,39,37,39,39,39,39,0
29.79723147,29.79723147,29.79723147,29.79723147,29.87833888,29.91889259,29.87833888,29.89861574,29.91889259,29.95944629,29.91889259,29.93410023,31.79723147,31.83778518,31.79723147,31.81461158,29.87833888,29.91889259,29.87833888,29.8834081,29.87833888,29.91889259,29.83778518,29.86932704,29.87833888,29.87833888,29.83778518,29.87383296,29.83778518,29.87833888,29.83778518,29.86313125,31.79723147,31.79723147,31.79723147,31.79723147,29.87833888,29.87833888,29.83778518,29.86820046,29.91889259,29.91889259,29.83778518,29.87383296,30,30,29.95944629,29.97566778,29.91889259,29.91889259,29.87833888,29.9008689,31.87833888,31.91889259,31.87833888,31.9008689,29.87833888,29.87833888,29.83778518,29.86313125,29.87833888,29.87833888,29.83778518,29.87383296,29.87833888,29.87833888,29.83778518,29.8603152,29.83778518,29.87833888,29.83778518,29.86820046,31.75667777,31.83778518,31.75667777,31.78709305,29.87833888,29.87833888,29.83778518,29.85130295,29.87833888,29.87833888,29.83778518,29.85806203,29.83778518,29.87833888,29.83778518,29.85400666,29.95944629,31.87833888,29.87833888,30.18400415,31.79723147,31.79723147,30.79723147,31.7152415,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,30,29.95944629,29.96845814,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,31.91889259,29.95944629,30.58637437,31.87833888,31.87833888,29.95944629,31.55852665,30,30.95944629,30,30.06396628,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,31.91889259,29.95944629,30.99193176,31.87833888,31.87833888,29.95944629,31.19302559,29.95944629,30,29.95944629,29.98197631,29.95944629,29.95944629,29.95944629,29.95944629,29.95944629,30,29.95944629,29.97746998,30,31.91889259,29.95944629,31.34810618,31.91889259,31.91889259,29.95944629,30.80025978,30,30,29.95944629,29.96395222,29.91889259,29.95944629,29.87833888,29.91889259,29.91889259,29.91889259,29.87833888,29.90267111,29.95944629,31.87833888,29.87833888,31.65695613,31.87833888,31.87833888,29.87833888,30.42158224,30,30,29.91889259,29.94728018,29.95944629,29.95944629,29.91889259,29.95043445,29.91889259,29.95944629,29.91889259,29.93241036,31.87833888,31.87833888,31.79723147,31.83372981,31.83778518,31.83778518,29.87833888,30.08239426,29.87833888,29.91889259,29.87833888,29.88239426,3
